Ano,Trimestre,CNPJ IF,Instituição financeira,Valor Total Tarifa
2020,1º,36321990,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",0.0
2020,1º,27214112,"AMAGGI S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",130356.0
2020,1º,23862762,"AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",975.0
2020,1º,92874270,BANCO A.J. RENNER S.A.,11174.029999999999
2020,1º,3532415,BANCO ABN AMRO S.A.,500.0
2020,1º,54403563,BANCO ARBI S.A.,8687.420000000002
2020,1º,2658435,BANCO CATERPILLAR S.A.,13100.0
2020,1º,2992446,BANCO CNH INDUSTRIAL CAPITAL S.A.,2400.0
2020,1º,8357240,BANCO CSF S.A.,0
2020,1º,4902979,BANCO DA AMAZONIA S.A.,2035.33
2020,1º,27098060,BANCO DIGIO S.A.,5000.0
2020,1º,13009717,BANCO DO ESTADO DE SERGIPE S.A.,4711.15
2020,1º,4913711,BANCO DO ESTADO DO PARÁ S.A.,2858.45
2020,1º,7237373,BANCO DO NORDESTE DO BRASIL S.A.,3390.63
2020,1º,58616418,BANCO FIBRA S.A.,26772.96
2020,1º,4866275,BANCO INBURSA S.A.,0.0
2020,1º,59118133,BANCO LUSO BRASILEIRO S.A.,32105.3
2020,1º,7441209,BANCO MONEO S.A.,27890.0
2020,1º,795423,BANCO SEMEAR S.A.,53816.0
2020,1º,7679404,BANCO TOPÁZIO S.A.,116804.4
2020,1º,3215790,BANCO TOYOTA DO BRASIL S.A.,1190.0
2020,1º,17351180,BANCO TRIANGULO S.A.,311489.80000000005
2020,1º,9526594,BANCO VIPAL S.A.,0.0
2020,1º,10264663,BANCOSEGURO S.A.,0
2020,1º,45283173,BBVA BRASIL BANCO DE INVESTIMENTO S.A.,0.0
2020,1º,9313766,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",54554.8
2020,1º,62331228,DEUTSCHE BANK S.A. - BANCO ALEMAO,21622.3
2020,1º,15581638,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,4825.0
2020,1º,411939,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",4035.0
2020,1º,4230630,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",0
2020,1º,6040559,"KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1585.0
2020,1º,11271860,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1950.0
